DQ:29:29
DQ:0:0:1.0
DQ:0:3:1.0
DQ:0:15:1.0
DQ:0:22:1.0
DQ:1:13:1.0
DQ:1:22:1.0
DQ:2:0:1.0
DQ:2:4:1.0
DQ:2:19:1.0
DQ:3:4:1.0
DQ:3:13:1.0
DQ:3:19:1.0
DQ:4:0:1.0
DQ:4:11:1.0
DQ:4:19:1.0
DQ:5:0:1.0
DQ:5:11:1.0
DQ:5:15:1.0
DQ:6:2:1.0
DQ:6:12:1.0
DQ:6:14:1.0
DQ:7:2:1.0
DQ:7:20:1.0
DQ:7:23:1.0
DQ:7:24:1.0
DQ:7:25:1.0
DQ:7:28:1.0
DQ:8:9:1.0
DQ:8:14:1.0
DQ:8:24:1.0
DQ:8:28:1.0
DQ:9:9:1.0
DQ:9:12:1.0
DQ:9:24:2.0
DQ:10:20:1.0
DQ:10:25:1.0
DQ:10:28:1.0
DQ:11:27:1.0
DQ:12:10:1.0
DQ:12:27:1.0
DQ:13:10:1.0
DQ:13:17:1.0
DQ:13:27:1.0
DQ:14:10:1.0
DQ:14:17:1.0
DQ:14:23:1.0
DQ:15:5:1.0
DQ:15:13:1.0
DQ:15:15:1.0
DQ:15:16:1.0
DQ:16:5:1.0
DQ:16:6:1.0
DQ:16:16:1.0
DQ:16:26:1.0
DQ:17:6:1.0
DQ:17:26:1.0
DQ:18:18:1.0
DQ:18:21:1.0
DQ:18:22:1.0
DQ:19:3:1.0
DQ:19:7:1.0
DQ:19:22:1.0
DQ:20:1:1.0
DQ:20:7:1.0
DQ:21:18:1.0
DQ:21:21:1.0
DQ:22:1:1.0
DQ:22:18:1.0
DQ:23:8:1.0
DQ:23:12:1.0
DQ:23:18:1.0
DQ:23:20:1.0
DQ:24:18:1.0
DQ:24:21:1.0
DQ:24:24:1.0
DQ:25:8:1.0
DQ:25:18:1.0
DQ:26:0:1.0
DQ:26:15:1.0
DQ:27:5:1.0
DQ:27:26:1.0
DQ:28:8:1.0
DQ:28:18:1.0
DQ:28:21:1.0
