data:8850:3606
data:0:446:1.0
data:0:453:1.0
data:0:661:1.0
data:0:851:1.0
data:0:859:1.0
data:0:949:1.0
data:0:1217:1.0
data:0:2335:1.0
data:0:2470:2.0
data:0:2521:1.0
data:0:2693:1.0
data:0:3004:2.0
data:0:3175:1.0
data:0:3268:1.0
data:0:3344:1.0
data:0:3390:1.0
data:0:4101:1.0
data:0:4902:1.0
data:0:5595:1.0
data:0:6023:1.0
data:0:6298:1.0
data:0:6783:1.0
data:0:6999:1.0
data:0:7016:1.0
data:0:7419:3.0
data:0:7504:1.0
data:0:7674:1.0
data:0:8652:1.0
data:0:8823:1.0
data:1:446:1.0
data:1:453:1.0
data:1:661:1.0
data:1:851:1.0
data:1:859:1.0
data:1:949:1.0
data:1:1217:1.0
data:1:2335:1.0
data:1:2470:2.0
data:1:2521:1.0
data:1:2693:1.0
data:1:3004:2.0
data:1:3175:1.0
data:1:3268:1.0
data:1:3344:1.0
data:1:3390:1.0
data:1:4101:1.0
data:1:4902:1.0
data:1:5595:1.0
data:1:6023:1.0
data:1:6298:1.0
data:1:6783:1.0
data:1:6999:1.0
data:1:7016:1.0
data:1:7419:3.0
data:1:7504:1.0
data:1:7674:1.0
data:1:8652:1.0
data:1:8823:1.0
data:2:446:1.0
data:2:453:1.0
data:2:661:1.0
data:2:851:1.0
data:2:859:1.0
data:2:949:1.0
data:2:1217:1.0
data:2:2335:1.0
data:2:2470:2.0
data:2:2521:1.0
data:2:2693:1.0
data:2:3004:2.0
data:2:3175:1.0
data:2:3268:1.0
data:2:3344:1.0
data:2:3390:1.0
data:2:4101:1.0
data:2:4902:1.0
data:2:5595:1.0
data:2:6023:1.0
data:2:6298:1.0
data:2:6783:1.0
data:2:6999:1.0
data:2:7016:1.0
data:2:7419:3.0
data:2:7504:1.0
data:2:7674:1.0
data:2:8652:1.0
data:2:8823:1.0
data:3:470:1.0
data:3:929:1.0
data:3:1386:1.0
data:3:1404:1.0
data:3:1464:1.0
data:3:3093:1.0
data:3:4679:1.0
data:3:5164:1.0
data:3:6706:1.0
data:3:7324:1.0
data:3:8490:1.0
data:4:446:1.0
data:4:453:1.0
data:4:661:1.0
data:4:851:1.0
data:4:859:1.0
data:4:949:1.0
data:4:1217:1.0
data:4:2335:1.0
data:4:2470:2.0
data:4:2521:1.0
data:4:2693:1.0
data:4:3004:2.0
data:4:3175:1.0
data:4:3268:1.0
data:4:3344:1.0
data:4:3390:1.0
data:4:4101:1.0
data:4:4902:1.0
data:4:5595:1.0
data:4:6023:1.0
data:4:6298:1.0
data:4:6783:1.0
data:4:6999:1.0
data:4:7016:1.0
data:4:7419:3.0
data:4:7504:1.0
data:4:7674:1.0
data:4:8652:1.0
data:4:8823:1.0
data:5:1334:2.0
data:5:2456:2.0
data:5:3187:1.0
data:5:3390:1.0
data:5:3645:1.0
data:5:4679:1.0
data:5:4705:1.0
data:5:5354:1.0
data:5:5583:1.0
data:5:6590:1.0
data:5:6999:1.0
data:5:7088:1.0
data:5:7234:1.0
