(8-403)	Sim: 0.02282177322938192
(8-404)	Sim: 0.04564354645876384
(8-413)	Sim: 0.05892556509887897
(8-414)	Sim: 0.07216878364870323
(8-416)	Sim: 0.16984155512168939
(8-420)	Sim: 0.17025130615174974
(8-425)	Sim: 0.14433756729740646
(8-439)	Sim: 0.14433756729740646
(8-440)	Sim: 0.14433756729740646
(9-64)	Sim: 0.16903085094570328
(9-103)	Sim: 0.14704292441876154
(9-109)	Sim: 0.0512989176042577
(9-125)	Sim: 0.08781140799175227
(9-167)	Sim: 0.16903085094570328
(9-185)	Sim: 0.33806170189140655
(9-196)	Sim: 0.10690449676496974
(9-238)	Sim: 0.14142135623730948
(9-260)	Sim: 0.21693045781865616
(9-290)	Sim: 0.6324555320336759
(9-308)	Sim: 0.09534625892455921
(9-324)	Sim: 0.1092716729416306
(9-354)	Sim: 0.0512989176042577
(9-364)	Sim: 0.1632993161855452
(9-442)	Sim: 0.28284271247461895
(10-61)	Sim: 0.32539568672798425
(10-66)	Sim: 0.8944271909999159
(10-125)	Sim: 0.021952851997938068
(10-185)	Sim: 0.33806170189140655
(10-206)	Sim: 0.14907119849998599
(10-324)	Sim: 0.0546358364708153
(10-354)	Sim: 0.1025978352085154
(10-378)	Sim: 0.1632993161855452
(10-400)	Sim: 0.09480909262799546
(10-403)	Sim: 0.04999999999999999
(10-423)	Sim: 0.4472135954999579
(11-53)	Sim: 0.23904572186687872
(11-107)	Sim: 0.026793191107712163
(11-109)	Sim: 0.04335549847620599
(11-110)	Sim: 0.14285714285714285
(11-121)	Sim: 0.0890870806374748
(11-125)	Sim: 0.24119610150327608
(11-133)	Sim: 0.3779644730092272
(11-143)	Sim: 0.33806170189140655
(11-146)	Sim: 0.13363062095621217
(11-148)	Sim: 0.1019294382875251
(11-196)	Sim: 0.04517539514526256
(11-217)	Sim: 0.3779644730092272
(11-221)	Sim: 0.028736106756903905
(11-232)	Sim: 0.26726124191242434
(11-267)	Sim: 0.03742405942825599
(11-296)	Sim: 0.16903085094570328
(11-297)	Sim: 0.1543033499620919
(11-300)	Sim: 0.2279211529192759
(11-308)	Sim: 0.040291148201269014
(11-310)	Sim: 0.14285714285714285
(11-320)	Sim: 0.3779644730092272
(11-323)	Sim: 0.1259881576697424
(11-324)	Sim: 0.13852712896188302
(11-330)	Sim: 0.08451542547285164
(11-342)	Sim: 0.20965696734438366
